,tag,ct,beta,theta,p,sigma,rho,epsilonA,epsilonI,lambda0,gammaA,gammaI,gammaD,cD,dD,dI,delta,S0,R0,Q0,E0,A0,I0,D0,day
125,CASES,Ireland,9.999985842896646e-06,0.15977634622529366,0.0010254518526322906,0.14285714285714285,0.12,0.004994093306107317,0.14590632472055473,0.010752688172043013,0.1128153321141128,0.1,0.14977749242028324,1.4,0.010608812475770234,0.014852337466078329,0.01896977742910122,233632.06066625344,0,15039.6,3.0,1.2,1.8,1,93
116,CASES,Israel,9.999979516682507e-06,0.15999942707006495,0.07628332395774771,0.14285714285714285,0.12,0.19999398974916707,0.32407112634971674,0.01,0.14998935744387815,0.1,0.14806052847064946,1.4,0.002518036198480433,0.0035252506778726046,0.0002607506657005265,696881.2908159648,0,10405.2,3.0,1.2,1.8,1,100
160,CASES,Italy,3.1791620436861526e-06,0.15878049624770854,0.028396159553418863,0.14285714285714285,0.12,0.032157244430873304,0.10077493179066466,0.008,0.10000000493929136,0.1,0.1037726489835548,1.4,0.017398789511306315,0.02435830531582884,1.1118883591620945e-13,1761243.6214755212,0,140109.0,9.0,3.6,5.4,3,125
2,CASES,Jamaica,8.059779944480373e-10,0.11558706524668412,0.14563070249203247,0.14285714285714285,0.12,0.11311360123809636,0.1002383337898968,0.012048192771084338,0.10000031267447608,0.1,0.14742782797254872,1.4,0.0022837357173028203,0.003197230004223948,0.00042049313387015896,50801.75173106634,0,354.0,6.0,2.4,3.6,2,83
117,CASES,Japan,9.999990344860547e-06,0.1598684844456126,0.001000054738886898,0.14285714285714285,0.12,0.007875503404872142,0.10078146370778704,0.007092198581560284,0.10004895497568594,0.1,0.10082539628047106,1.4,0.005641107587493719,0.007897550622491206,0.00022934584774059186,161153.82129312947,0,10191.6,3.0,1.2,1.8,1,141
14,CASES,Jordan,9.999999377275329e-06,0.15717173721139094,0.32999997343762844,0.14285714285714285,0.12,0.19961403871905148,0.3999952238591953,0.012048192771084338,0.14999991935358065,0.1,0.14055415517757675,1.4,0.0016956935611235804,0.0023739709855730125,0.0002961521471651629,69431.28754599243,0,453.0,3.0,1.2,1.8,1,83
108,CASES,Kazakhstan,9.998990460331683e-06,0.15996771269692378,0.0010000000002110493,0.14285714285714285,0.12,0.16268458292917864,0.1000001155230628,0.012345679012345678,0.10000000003140012,0.1,0.1009250597420028,1.4,0.00037786782068142645,0.0005290149489539969,0.005234382163770146,118049.00653405984,0,7077.5999999999985,18.0,7.199999999999998,10.8,6,81
49,CASES,Kenya,9.999996999868448e-06,0.10000036569777096,0.0010000000012473926,0.14285714285714285,0.12,0.19999997110131265,0.10902988149803194,0.012195121951219513,0.10002038913161132,0.1,0.10200698372035348,1.4,0.003581847598489168,0.005014586637884835,0.0007764768552513956,173892.41153543713,0,1255.8,3.0,1.2,1.8,1,82
21,CASES,Kosovo,9.99999998217648e-06,0.10002759665227637,0.3299994083439564,0.14285714285714285,0.12,0.10215247922660738,0.3999669459854564,0.013513513513513514,0.14968059985493998,0.1,0.14962923393505115,1.4,0.00441384170899856,0.006179378392597983,0.0009085124279231693,50885.185498803614,0,628.1999999999998,6.0,2.4,3.6,2,74
128,CASES,Kuwait,4.819101047457985e-06,0.1273977270490146,0.01992153864729448,0.14285714285714285,0.12,0.021413789141688302,0.10110134326530903,0.010204081632653059,0.10000000042364388,0.1,0.14984994958430475,1.4,0.0011915029590842936,0.001668104142718011,5.545564008002657e-14,651534.6619502967,0,17189.399999999998,9.0,3.6,5.4,3,98
46,CASES,Kyrgyzstan,9.982096591667958e-06,0.15999229647724228,0.18869833665392802,0.14285714285714285,0.12,0.19999997228065947,0.3868170259193482,0.012987012987012988,0.10000605994052636,0.1,0.1483074802981792,1.4,0.0016024579178625525,0.002243441085007573,0.00040825402684796513,100327.3975712945,0,1122.6,9.0,3.6,5.4,3,77
5,CASES,Latvia,9.999999812967447e-06,0.15990710289602386,0.3299999999810847,0.14285714285714285,0.12,0.19996400069813103,0.3999977584904567,0.012048192771084338,0.1499999999562328,0.1,0.10069187007803107,1.4,0.0022397611332637467,0.003135665586569245,0.00213871760571166,14922.626059320137,0,634.1999999999998,3.0,1.2,1.8,1,83
31,CASES,Lebanon,9.999974815366993e-06,0.15995212777293585,0.2866976995279682,0.14285714285714285,0.12,0.19999984847224686,0.3999980418917639,0.010101010101010102,0.14998420989539002,0.1,0.10632272567332827,1.4,0.002362727237185073,0.0033078181320591016,0.0003888172361781739,63231.24897518432,0,745.1999999999998,3.0,1.2,1.8,1,99
39,CASES,Lithuania,9.951845088192503e-06,0.1599395579294099,0.3299975116053633,0.14285714285714285,0.12,0.19999695901507814,0.3999620133508681,0.011363636363636364,0.12500000000064546,0.1,0.12614507082988288,1.4,0.005559466188033324,0.007783252663246653,0.0013315521163204669,34701.582341421745,0,1009.2,3.0,1.2,1.8,1,88
72,CASES,Luxembourg,2.216841642421752e-11,0.13298802783750974,0.3299960547650853,0.14285714285714285,0.12,0.19999990349822092,0.3999810780737938,0.012345679012345678,0.14999999949119092,0.1,0.148919521824626,1.4,0.004216511557454019,0.0059031161804356256,0.00028931864880843433,484612.94771535724,0,2397.0,3.0,1.2,1.8,1,81
0,CASES,Madagascar,9.999993471357769e-06,0.1599999999503631,0.013292180209377613,0.14285714285714285,0.12,0.10007477687431486,0.1001992977954875,0.013333333333333334,0.10000341379089614,0.1,0.13834666692117642,1.4,0.0009893682974100816,0.0013851156163741142,0.002250515503570693,27120.32251247244,0,507.0,9.0,3.6,5.4,3,75
89,CASES,Malaysia,8.130391776679342e-06,0.159999999557018,0.01573168289786036,0.14285714285714285,0.12,2.588262937308628e-13,0.1000198725389007,0.007692307692307694,0.10430763925623997,0.1,0.14999939339995325,1.4,0.0022223563825038164,0.003111298935505343,0.0006866736938569984,263455.5885539329,0,4726.2,9.0,3.6,5.4,3,130
