,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
211,03/05/2020,3,5,2020,7,0.0,Albania,AL,ALB,2880913,Europe
212,02/05/2020,2,5,2020,9,0.0,Albania,AL,ALB,2880913,Europe
213,01/05/2020,1,5,2020,7,0.0,Albania,AL,ALB,2880913,Europe
214,30/04/2020,30,4,2020,16,1.0,Albania,AL,ALB,2880913,Europe
215,29/04/2020,29,4,2020,14,2.0,Albania,AL,ALB,2880913,Europe
216,28/04/2020,28,4,2020,10,0.0,Albania,AL,ALB,2880913,Europe
217,27/04/2020,27,4,2020,14,1.0,Albania,AL,ALB,2880913,Europe
218,26/04/2020,26,4,2020,34,0.0,Albania,AL,ALB,2880913,Europe
219,25/04/2020,25,4,2020,15,0.0,Albania,AL,ALB,2880913,Europe
220,24/04/2020,24,4,2020,29,0.0,Albania,AL,ALB,2880913,Europe
221,23/04/2020,23,4,2020,25,1.0,Albania,AL,ALB,2880913,Europe
222,22/04/2020,22,4,2020,25,0.0,Albania,AL,ALB,2880913,Europe
223,21/04/2020,21,4,2020,22,0.0,Albania,AL,ALB,2880913,Europe
224,20/04/2020,20,4,2020,14,0.0,Albania,AL,ALB,2880913,Europe
225,19/04/2020,19,4,2020,9,0.0,Albania,AL,ALB,2880913,Europe
226,18/04/2020,18,4,2020,21,0.0,Albania,AL,ALB,2880913,Europe
227,17/04/2020,17,4,2020,24,1.0,Albania,AL,ALB,2880913,Europe
228,16/04/2020,16,4,2020,19,1.0,Albania,AL,ALB,2880913,Europe
229,15/04/2020,15,4,2020,8,1.0,Albania,AL,ALB,2880913,Europe
230,14/04/2020,14,4,2020,21,0.0,Albania,AL,ALB,2880913,Europe
231,13/04/2020,13,4,2020,13,0.0,Albania,AL,ALB,2880913,Europe
232,12/04/2020,12,4,2020,17,0.0,Albania,AL,ALB,2880913,Europe
233,11/04/2020,11,4,2020,7,0.0,Albania,AL,ALB,2880913,Europe
234,10/04/2020,10,4,2020,9,1.0,Albania,AL,ALB,2880913,Europe
235,09/04/2020,9,4,2020,17,0.0,Albania,AL,ALB,2880913,Europe
236,08/04/2020,8,4,2020,6,0.0,Albania,AL,ALB,2880913,Europe
237,07/04/2020,7,4,2020,16,1.0,Albania,AL,ALB,2880913,Europe
238,06/04/2020,6,4,2020,28,2.0,Albania,AL,ALB,2880913,Europe
239,05/04/2020,5,4,2020,29,2.0,Albania,AL,ALB,2880913,Europe
240,04/04/2020,4,4,2020,27,1.0,Albania,AL,ALB,2880913,Europe
241,03/04/2020,3,4,2020,18,1.0,Albania,AL,ALB,2880913,Europe
242,02/04/2020,2,4,2020,16,0.0,Albania,AL,ALB,2880913,Europe
243,01/04/2020,1,4,2020,20,3.0,Albania,AL,ALB,2880913,Europe
244,31/03/2020,31,3,2020,11,2.0,Albania,AL,ALB,2880913,Europe
245,30/03/2020,30,3,2020,15,0.0,Albania,AL,ALB,2880913,Europe
246,29/03/2020,29,3,2020,11,1.0,Albania,AL,ALB,2880913,Europe
247,28/03/2020,28,3,2020,12,3.0,Albania,AL,ALB,2880913,Europe
248,27/03/2020,27,3,2020,28,1.0,Albania,AL,ALB,2880913,Europe
249,26/03/2020,26,3,2020,23,0.0,Albania,AL,ALB,2880913,Europe
250,25/03/2020,25,3,2020,23,1.0,Albania,AL,ALB,2880913,Europe
251,24/03/2020,24,3,2020,11,2.0,Albania,AL,ALB,2880913,Europe
252,23/03/2020,23,3,2020,13,0.0,Albania,AL,ALB,2880913,Europe
253,22/03/2020,22,3,2020,6,0.0,Albania,AL,ALB,2880913,Europe
254,21/03/2020,21,3,2020,0,0.0,Albania,AL,ALB,2880913,Europe
255,20/03/2020,20,3,2020,11,0.0,Albania,AL,ALB,2880913,Europe
256,19/03/2020,19,3,2020,4,1.0,Albania,AL,ALB,2880913,Europe
257,18/03/2020,18,3,2020,4,0.0,Albania,AL,ALB,2880913,Europe
258,17/03/2020,17,3,2020,9,0.0,Albania,AL,ALB,2880913,Europe
259,16/03/2020,16,3,2020,4,0.0,Albania,AL,ALB,2880913,Europe
260,15/03/2020,15,3,2020,5,0.0,Albania,AL,ALB,2880913,Europe
261,14/03/2020,14,3,2020,10,0.0,Albania,AL,ALB,2880913,Europe
262,13/03/2020,13,3,2020,12,0.0,Albania,AL,ALB,2880913,Europe
263,12/03/2020,12,3,2020,1,1.0,Albania,AL,ALB,2880913,Europe
264,11/03/2020,11,3,2020,4,0.0,Albania,AL,ALB,2880913,Europe
265,10/03/2020,10,3,2020,4,0.0,Albania,AL,ALB,2880913,Europe
266,09/03/2020,9,3,2020,2,0.0,Albania,AL,ALB,2880913,Europe
267,20/06/2020,20,6,2020,119,14.0,Algeria,DZ,DZA,43053054,Africa
268,19/06/2020,19,6,2020,117,12.0,Algeria,DZ,DZA,43053054,Africa
269,18/06/2020,18,6,2020,121,11.0,Algeria,DZ,DZA,43053054,Africa
270,17/06/2020,17,6,2020,116,11.0,Algeria,DZ,DZA,43053054,Africa
271,16/06/2020,16,6,2020,112,10.0,Algeria,DZ,DZA,43053054,Africa
272,15/06/2020,15,6,2020,109,7.0,Algeria,DZ,DZA,43053054,Africa
273,14/06/2020,14,6,2020,112,9.0,Algeria,DZ,DZA,43053054,Africa
274,13/06/2020,13,6,2020,109,10.0,Algeria,DZ,DZA,43053054,Africa
275,12/06/2020,12,6,2020,105,9.0,Algeria,DZ,DZA,43053054,Africa
276,11/06/2020,11,6,2020,102,8.0,Algeria,DZ,DZA,43053054,Africa
277,10/06/2020,10,6,2020,117,9.0,Algeria,DZ,DZA,43053054,Africa
278,09/06/2020,9,6,2020,111,8.0,Algeria,DZ,DZA,43053054,Africa
279,08/06/2020,8,6,2020,104,9.0,Algeria,DZ,DZA,43053054,Africa
280,07/06/2020,7,6,2020,115,8.0,Algeria,DZ,DZA,43053054,Africa
281,06/06/2020,6,6,2020,104,9.0,Algeria,DZ,DZA,43053054,Africa
282,05/06/2020,5,6,2020,205,14.0,Algeria,DZ,DZA,43053054,Africa
283,04/06/2020,4,6,2020,0,0.0,Algeria,DZ,DZA,43053054,Africa
284,03/06/2020,3,6,2020,113,6.0,Algeria,DZ,DZA,43053054,Africa
285,02/06/2020,2,6,2020,119,8.0,Algeria,DZ,DZA,43053054,Africa
286,01/06/2020,1,6,2020,127,7.0,Algeria,DZ,DZA,43053054,Africa
287,31/05/2020,31,5,2020,133,8.0,Algeria,DZ,DZA,43053054,Africa
288,30/05/2020,30,5,2020,137,8.0,Algeria,DZ,DZA,43053054,Africa
289,29/05/2020,29,5,2020,140,7.0,Algeria,DZ,DZA,43053054,Africa
290,28/05/2020,28,5,2020,160,6.0,Algeria,DZ,DZA,43053054,Africa
291,27/05/2020,27,5,2020,194,8.0,Algeria,DZ,DZA,43053054,Africa
292,26/05/2020,26,5,2020,197,9.0,Algeria,DZ,DZA,43053054,Africa
293,25/05/2020,25,5,2020,193,8.0,Algeria,DZ,DZA,43053054,Africa
294,24/05/2020,24,5,2020,195,10.0,Algeria,DZ,DZA,43053054,Africa
295,23/05/2020,23,5,2020,190,7.0,Algeria,DZ,DZA,43053054,Africa
296,22/05/2020,22,5,2020,186,7.0,Algeria,DZ,DZA,43053054,Africa
297,21/05/2020,21,5,2020,165,7.0,Algeria,DZ,DZA,43053054,Africa
298,20/05/2020,20,5,2020,176,6.0,Algeria,DZ,DZA,43053054,Africa
299,19/05/2020,19,5,2020,182,7.0,Algeria,DZ,DZA,43053054,Africa
300,18/05/2020,18,5,2020,198,6.0,Algeria,DZ,DZA,43053054,Africa
301,17/05/2020,17,5,2020,192,6.0,Algeria,DZ,DZA,43053054,Africa
302,16/05/2020,16,5,2020,187,7.0,Algeria,DZ,DZA,43053054,Africa
303,15/05/2020,15,5,2020,189,7.0,Algeria,DZ,DZA,43053054,Africa
304,14/05/2020,14,5,2020,186,7.0,Algeria,DZ,DZA,43053054,Africa
305,13/05/2020,13,5,2020,176,8.0,Algeria,DZ,DZA,43053054,Africa
306,12/05/2020,12,5,2020,168,5.0,Algeria,DZ,DZA,43053054,Africa
307,11/05/2020,11,5,2020,165,8.0,Algeria,DZ,DZA,43053054,Africa
308,10/05/2020,10,5,2020,189,6.0,Algeria,DZ,DZA,43053054,Africa
309,09/05/2020,9,5,2020,187,5.0,Algeria,DZ,DZA,43053054,Africa
310,08/05/2020,8,5,2020,185,7.0,Algeria,DZ,DZA,43053054,Africa
311,07/05/2020,7,5,2020,159,6.0,Algeria,DZ,DZA,43053054,Africa
312,06/05/2020,6,5,2020,190,5.0,Algeria,DZ,DZA,43053054,Africa
313,05/05/2020,5,5,2020,174,2.0,Algeria,DZ,DZA,43053054,Africa
314,04/05/2020,4,5,2020,179,4.0,Algeria,DZ,DZA,43053054,Africa
315,03/05/2020,3,5,2020,141,6.0,Algeria,DZ,DZA,43053054,Africa
316,02/05/2020,2,5,2020,148,3.0,Algeria,DZ,DZA,43053054,Africa
317,01/05/2020,1,5,2020,158,6.0,Algeria,DZ,DZA,43053054,Africa
318,30/04/2020,30,4,2020,199,7.0,Algeria,DZ,DZA,43053054,Africa
319,29/04/2020,29,4,2020,132,5.0,Algeria,DZ,DZA,43053054,Africa
