ct, chi-square, chi-reduced, akaike, population, func_call
Guinea_Bissau, 53877.8131, 718.370842, 575.850900, 1920917.00, 3951
Haiti, 160550.438, 1957.93217, 715.200046, 11263079.0, 9001
Honduras, 3349891.18, 38066.9452, 1054.50254, 9746115.00, 15114
Hungary, 108386.464, 1129.02567, 762.507373, 9664124.00, 4966
Iceland, 62374.6255, 611.515936, 735.428439, 339037.000, 5591
India, 2.3472e+09, 17917649.2, 2382.13472, 1.3664e+09, 12228
Indonesia, 1.8300e+09, 19677927.6, 1757.05454, 2.7063e+08, 2455
Iran, 3.5860e+09, 32306003.0, 2119.94528, 82913893.0, 19400
Iraq, 89160834.0, 857315.711, 1581.51733, 39309789.0, 12242
Ireland, 5187728.57, 52401.2987, 1205.74588, 4904240.00, 8409
Israel, 13765456.4, 129862.796, 1388.03337, 8519373.00, 7360
