ct, success, chisqr, redchi, aic, bic, nfev, nvarys, ndata, nfree, gammaD, S0, beta, theta, p, epsilonA, epsilonI, gammaA, cD, delta
Parana, True, 1128337.6862772093, 17359.04132734168, 741.4075939977066, 764.5824751330697, 1072, 10, 75, 65, 0.1000232494913798, 264257.1581123663, 1.7826155871562833e-07, 0.10000015964006845, 0.025343085093409184, 0.15256329456499565, 0.39997684193959815, 0.13962674913002507, 1.4, 0.0007351801597780816
Senegal, True, 411989.1532708408, 6058.664018688835, 688.619390994073, 712.1864792609689, 2719, 10, 78, 68, 0.14995297337756436, 358529.19905490463, 4.662246535207077e-06, 0.1599999999985675, 0.01566026803749493, 1.3288185285453836e-08, 0.10000000874166678, 0.1337254602637691, 1.4, 0.0011201710043510227
Guatemala, True, 72908701.44371307, 1157280.9752970329, 1028.4409150354968, 1051.345509446981, 30, 10, 73, 63, 0.10069107892494934, 8609.815657622068, 9.776570874022504e-06, 0.15999713521974324, 0.32607989563324935, 0.0168883318497824, 0.3813286089324326, 0.1225161044161745, 1.4, 0.0018159939975793127
Rondonia, True, 143250.05831791725, 2513.1589178581976, 533.7328462935517, 555.7797724874613, 3234, 10, 67, 57, 0.10000837187250147, 143726.12251766733, 9.999849250041484e-06, 0.15999999896567946, 0.006799197266304075, 0.00915804537073237, 0.10000048205524088, 0.10000259497842062, 1.4, 0.0029757916961731246
Hungary, True, 2529648.636554392, 35134.008841033225, 867.6234814469361, 891.6906739195787, 223, 10, 82, 72, 0.11759835516823493, 1022367.4053588886, 1.280334312328179e-06, 0.1568259765119103, 0.16645198284463797, 0.1437421723360417, 0.14948246438564963, 0.10008800716205003, 1.4, 0.00010488592952911935
Sudan, True, 56719617.2992821, 886244.0203012828, 1022.667854382938, 1045.7085053149797, 31, 10, 74, 64, 0.11984636991558553, 1837508.4132200258, 1.2861485480913483e-07, 0.12953643693478598, 0.15005431794569607, 0.0024287849412999666, 0.20001908775835936, 0.1293267139985371, 1.4, 0.00010000636829116116
Acre, True, 1317774.5988767876, 22720.2517047722, 691.292413455542, 713.487490507303, 161, 10, 68, 58, 0.11862638779899898, 140973.6044373826, 9.983132105144033e-06, 0.1598950272777539, 0.0019250419761727448, 0.02684818571693034, 0.10000076360453446, 0.10064157662487004, 1.4, 0.00235393041693166
Honduras, True, 722999.2620699643, 11296.863469843192, 699.8452806591708, 722.8859315912125, 1949, 10, 74, 64, 0.1026327961877956, 303014.2801987593, 9.495184123712406e-06, 0.14396977892804178, 0.010069730172951978, 0.19407280984050332, 0.25029492502095585, 0.10001542876385945, 1.4, 3.37522179564842e-05
Luxembourg, True, 57842419.21950799, 826320.2745643998, 1099.2965061063705, 1123.1167724531094, 4073, 10, 80, 70, 0.14974137456869369, 179716.80259591038, 9.99999246132734e-06, 0.10000001713745173, 0.32999342480073673, 0.19999999995708073, 0.39998636913854635, 0.14831473119784686, 1.4, 0.0007657481886685358
Rio_Grande_do_Norte, True, 722573.8104532394, 11290.215788331865, 699.8017222654167, 722.8423731974584, 642, 10, 74, 64, 0.12486653653038252, 1332678.574879514, 5.299343754719738e-06, 0.15999967468784188, 0.06757280664815529, 0.008902389090150209, 0.3914225671146597, 0.10000266541718754, 1.4, 4.2183049220323454e-08
